Time,Open,High,Low,Close,Volume,
2022-01-04 03:00:00, 46102.58, 46385.2, 46015.89, 46319.84, 389.18478406,
2022-01-04 04:00:00, 46319.99, 46410.94, 46022.76, 46097.21, 363.66521586,
2022-01-04 05:00:00, 46097.21, 46296.01, 46030.1, 46157.15, 288.50125244,
2022-01-04 06:00:00, 46153.68, 46403.75, 46068.52, 46382.67, 655.98870922,
2022-01-04 07:00:00, 46382.67, 46581.59, 46334.54, 46558.25, 532.68574632,
2022-01-04 08:00:00, 46558.26, 46686.14, 46410.68, 46506.27, 466.14916989,
2022-01-04 09:00:00, 46502.71, 46606.33, 46304.41, 46356, 487.8668234,
2022-01-04 10:00:00, 46359.02, 46755.83, 46297.25, 46634.9, 359.71063466,
2022-01-04 11:00:00, 46632.01, 46775.01, 46630.52, 46735.35, 315.65692287,
2022-01-04 12:00:00, 46732.31, 46764.31, 46473.41, 46634.4, 496.878464,
2022-01-04 13:00:00, 46632.41, 47094.01, 46412.88, 46971.26, 1249.38914469,
2022-01-04 14:00:00, 46970.54, 47461.99, 46829.51, 47338.27, 1333.87173291,
2022-01-04 15:00:00, 47335.01, 47532.89, 46833.53, 46900, 1266.90983976,
2022-01-04 16:00:00, 46906.54, 46906.54, 46630.54, 46759.47, 634.14308759,
2022-01-04 17:00:00, 46759.46, 46971.03, 46522.38, 46540.06, 358.97063542,
2022-01-04 18:00:00, 46542.67, 46720, 45515, 45736.11, 1852.58039756,
2022-01-04 19:00:00, 45736.14, 46452.01, 45556.36, 46039.93, 1488.09522279,
2022-01-04 20:00:00, 46039.93, 46425.43, 45950.09, 46256.15, 793.70360341,
2022-01-04 21:00:00, 46256.15, 46318.05, 46011.22, 46215.85, 650.54728061,
2022-01-04 22:00:00, 46215.86, 46235.06, 45958.05, 46152.75, 360.26002495,
2022-01-04 23:00:00, 46151.8, 46153.18, 45705.19, 45814.61, 748.6318851,
2022-01-05 00:00:00, 45817.13, 46344.15, 45711.74, 46270.59, 647.36154679,
2022-01-05 01:00:00, 46270.59, 46335.88, 46089.33, 46101.06, 419.21631387,
2022-01-05 02:00:00, 46101.98, 46384.11, 46101.96, 46299.62, 544.26677575,
2022-01-05 03:00:00, 46299.28, 46547.91, 46299.02, 46427.36, 484.39374719,
2022-01-05 04:00:00, 46427.35, 46529.02, 46346.3, 46412, 329.00008994,
2022-01-05 05:00:00, 46412.24, 46412.24, 46243.32, 46304.01, 308.2014336,
2022-01-05 06:00:00, 46304.01, 46468.26, 46246.62, 46453.63, 199.06029897,
2022-01-05 07:00:00, 46454.3, 46490.46, 46337.39, 46407.17, 180.67083723,
2022-01-05 08:00:00, 46407.63, 46677.08, 46271.03, 46646.05, 374.78773789,
2022-01-05 09:00:00, 46646.06, 46959.66, 46573.61, 46856.46, 468.41507301,
2022-01-05 10:00:00, 46859.79, 47076.55, 46701.82, 46820.84, 367.24554819,
2022-01-05 11:00:00, 46820.84, 46840, 46111.33, 46274.88, 495.69330866,
2022-01-05 12:00:00, 46271.61, 46344.61, 45900, 46230.06, 628.04995856,
2022-01-05 13:00:00, 46230.1, 46456.25, 46104.28, 46436.08, 552.2178141,
